lan_code,cluster,count,total_count,fraction
hun,21,1,10898,9.175995595522114e-05
hun,28,1,224,0.004464285714285714
hun,30,1,9617,0.00010398253093480295
hun,33,13645,13763,0.9914262878732835
hun,34,1149,10376,0.11073631457208943
hun,43,3,7719,0.000388651379712398
hun,44,3377,48190,0.07007677941481635
hun,46,138,10402,0.013266679484714479
hun,48,7,13724,0.0005100553774409793
hun,54,1591,15063,0.10562304985726614
hun,66,1,5502,0.0001817520901490367
hun,71,1,6319,0.0001582528881152081
hun,79,128,11307,0.011320420978155126
hun,81,1,14726,6.790710308298248e-05
hun,84,259,14179,0.018266450384371254
hun,86,11,682,0.016129032258064516
hun,88,24,24564,0.0009770395701025891
hun,89,5,29819,0.00016767832589959422
hun,91,559,12006,0.04656005330667999
hun,94,1,3722,0.00026867275658248256
hun,97,5192,5193,0.9998074330829964
hun,100,3,3341,0.0008979347500748278
hun,103,4,9557,0.00041854138327927174
hun,104,4,4428,0.0009033423667570009
hun,120,13336,13582,0.9818877926667648
hun,128,1535,14329,0.10712541000767674
hun,129,954,18235,0.05231697285440088
hun,133,219,5150,0.04252427184466019
hun,135,10,4664,0.002144082332761578
hun,139,1,5382,0.0001858045336306206
hun,145,2,6139,0.00032578595862518323
hun,149,1,6865,0.0001456664238892935
hun,151,219,219,1.0
hun,152,8234,8234,1.0
hun,155,1718,5307,0.32372338420953456
hun,157,2,7502,0.00026659557451346307
hun,169,1534,14238,0.10773985110268296
hun,170,2,11233,0.00017804682631532092
hun,174,2,15784,0.00012671059300557527
hun,175,4634,8843,0.5240303064570847
hun,180,5,6916,0.0007229612492770387
hun,181,1,10950,9.132420091324201e-05
hun,182,49,8003,0.006122703986005248
hun,188,57567,644468,0.08932483847142139
hun,198,1,21515,4.647920055775041e-05
ita,13,2,25534,7.832693663350827e-05
ita,17,41,6088,0.006734559789750329
ita,21,338,10898,0.031014865112864744
ita,22,10777,10898,0.9888970453294182
ita,32,1,4745,0.00021074815595363542
ita,34,138,10376,0.013299922898997688
ita,43,726,7719,0.0940536338904003
ita,44,3692,48190,0.07661340527080307
ita,46,469,10402,0.04508748317631225
ita,48,61,13724,0.004444768289128534
ita,49,5327,5366,0.9927320163995528
ita,54,1,15063,6.638783774812455e-05
ita,58,51,5228,0.009755164498852333
ita,65,10050,10737,0.9360156468287231
ita,71,1,6319,0.0001582528881152081
ita,75,5596,14620,0.38276333789329686
ita,78,515,2454,0.20986145069274653
ita,83,295,4698,0.06279267773520647
ita,84,1088,14179,0.07673319698145144
ita,85,506,12021,0.04209300390982448
ita,87,6004,6156,0.9753086419753086
ita,88,274,24564,0.01115453509200456
ita,89,4633,29819,0.155370736778564
ita,90,5841,5841,1.0
ita,91,2113,12006,0.17599533566550057
ita,99,2,14778,0.00013533631073216944
ita,100,28,3341,0.008380724334031727
ita,116,3488,3540,0.9853107344632769
ita,118,1,3645,0.00027434842249657066
ita,123,2630,6616,0.3975211608222491
ita,128,206,14329,0.014376439388652384
ita,129,1693,18235,0.09284343295859611
ita,130,2,2014,0.0009930486593843098
ita,137,114,4641,0.02456367162249515
ita,143,1536,2868,0.5355648535564853
ita,145,3188,6139,0.5193028180485421
ita,157,555,7502,0.073980271927486
ita,158,1997,7299,0.2735991231675572
ita,160,3313,8981,0.368889878632669
ita,163,698,4435,0.15738444193912063
ita,165,1,13841,7.224911494834188e-05
ita,167,3486,9647,0.36135586192598734
ita,173,1935,3532,0.5478482446206115
ita,175,1,8843,0.00011308379509216329
ita,176,746,11420,0.06532399299474606
ita,180,5965,6916,0.8624927703875073
ita,181,5191,10950,0.47406392694063926
ita,182,321,8003,0.04010995876546295
ita,188,20945,644468,0.032499674149841416
jpn,3,1,6314,0.00015837820715869496
jpn,12,1,14374,6.957005704744678e-05
